"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 08:44:35 IST 2026","Fri Sep 04 08:44:36 IST 2026","1012","","testlogin.spec.js","","","","login test on saucedemo",""
"broken","Fri Sep 04 08:44:37 IST 2026","Fri Sep 04 08:44:52 IST 2026","15146","","testlogin.spec.js","","","","add to cart test on saucedemo",""
